update,cats,dogs,fleas,FpC,FpD,catLockAveSize,dogLockAveSize,fleaKeyAveSize,fleaKeyAveSizeOnCats,fleaKeyAveSizeOnDogs,catBirths,dogBirths,fleaBirths,catDeaths,dogDeaths,fleaDeaths,fleaJumps,fleaJumpsAcross,fleasInherited,catCollectedResource,fleaOnCatCollectedResource,catTheft,infectedCatsRate,bitMatchCat,dogCollectedResource,fleaOnDogCollectedResource,dogTheft,infectedDogsRate,bitMatchDog,fleaCollectedResource
0,100,0,164,1.640000,0.000000,30.000000,-1,40.000000,40.000000,-1,0,0,64,0,0,0,7,0,0,15.905000,0.161667,0.161667,0.660000,0.939394,-1,-1,-1,-1,-1,0.098577
10,183,0,5922,32.360656,0.000000,30.000000,-1,40.005910,40.005910,-1,6,0,748,0,0,0,407,0,60,8.686375,3.608707,3.608707,0.770492,0.914283,-1,-1,-1,-1,-1,0.111515
20,198,0,8187,41.348485,0.000000,30.000000,-1,40.004275,40.004275,-1,9,0,728,5,0,385,453,0,102,7.659731,4.941279,4.941279,0.914141,0.946623,-1,-1,-1,-1,-1,0.119503
30,159,0,7005,44.056604,0.000000,30.000000,-1,39.999429,39.999429,-1,4,0,633,15,0,240,359,0,47,7.587180,5.389759,5.389759,0.974843,0.962957,-1,-1,-1,-1,-1,0.122337
40,139,0,6168,44.374101,0.000000,30.000000,-1,39.999351,39.999351,-1,8,0,699,7,0,278,382,0,94,7.415024,5.424305,5.424305,0.985612,0.931139,-1,-1,-1,-1,-1,0.122240
50,120,0,5766,48.050000,0.000000,30.000000,-1,40.012314,40.012314,-1,3,0,316,7,0,193,338,0,40,8.216417,7.103028,7.103028,1.000000,0.961910,-1,-1,-1,-1,-1,0.147826
60,120,0,5465,45.541667,0.000000,30.000000,-1,40.025801,40.025801,-1,5,0,561,7,0,228,276,0,73,8.048083,6.118583,6.118583,1.000000,0.945426,-1,-1,-1,-1,-1,0.134351
70,114,0,5079,44.552632,0.000000,30.000000,-1,40.022052,40.022052,-1,8,0,489,4,0,186,218,0,87,7.631480,6.026415,6.026415,1.000000,0.914033,-1,-1,-1,-1,-1,0.135265
80,96,0,4492,46.791667,0.000000,30.000000,-1,40.003339,40.003339,-1,2,0,419,6,0,169,110,0,25,8.825833,6.833889,6.833889,1.000000,0.964716,-1,-1,-1,-1,-1,0.146049
90,90,0,4285,47.611111,0.000000,30.000000,-1,40.033139,40.033139,-1,3,0,350,2,0,179,118,0,38,8.680963,7.096815,7.096815,1.000000,0.952713,-1,-1,-1,-1,-1,0.149058
100,84,0,3814,45.404762,0.000000,30.000000,-1,40.043786,40.043786,-1,4,0,429,8,0,148,72,0,44,8.492698,6.308889,6.308889,1.000000,0.933187,-1,-1,-1,-1,-1,0.138948
110,78,0,3529,45.243590,0.000000,30.000000,-1,40.043922,40.043922,-1,6,0,240,4,0,130,151,0,80,7.882692,6.519017,6.519017,1.000000,0.908313,-1,-1,-1,-1,-1,0.144087
120,83,0,3767,45.385542,0.000000,30.000000,-1,40.057340,40.057340,-1,5,0,304,2,0,128,60,0,70,8.548635,6.832892,6.832892,1.000000,0.920113,-1,-1,-1,-1,-1,0.150552
130,72,0,3435,47.708333,0.000000,30.000000,-1,40.056769,40.056769,-1,2,0,226,3,0,126,201,0,17,8.119444,6.695370,6.695370,1.000000,0.955551,-1,-1,-1,-1,-1,0.140340
140,87,0,3939,45.275862,0.000000,30.000000,-1,40.049251,40.049251,-1,6,0,408,3,0,156,151,0,63,8.367395,6.306935,6.306935,1.000000,0.909680,-1,-1,-1,-1,-1,0.139300
150,85,0,3928,46.211765,0.000000,30.000000,-1,40.076375,40.076375,-1,4,0,310,6,0,131,233,0,44,8.392804,6.842490,6.842490,1.000000,0.929071,-1,-1,-1,-1,-1,0.148068
160,96,0,4243,44.197917,0.000000,30.000000,-1,40.095923,40.095923,-1,6,0,422,2,0,175,212,0,76,8.318681,6.212569,6.212569,1.000000,0.914810,-1,-1,-1,-1,-1,0.140562
170,84,0,3897,46.392857,0.000000,30.000000,-1,40.085964,40.085964,-1,4,0,308,4,0,173,245,0,48,7.994821,6.310734,6.310734,1.000000,0.934352,-1,-1,-1,-1,-1,0.136028
180,83,0,3747,45.144578,0.000000,30.000000,-1,40.099813,40.099813,-1,3,0,511,2,0,164,203,0,39,8.798112,5.940843,5.940843,1.000000,0.936028,-1,-1,-1,-1,-1,0.131596
190,77,0,3646,47.350649,0.000000,30.000000,-1,40.054855,40.054855,-1,3,0,342,2,0,155,115,0,45,8.491039,6.747056,6.747056,1.000000,0.936032,-1,-1,-1,-1,-1,0.142491
200,78,0,3518,45.102564,0.000000,30.000000,-1,40.059977,40.059977,-1,4,0,326,5,0,142,159,0,44,8.061581,5.912778,5.912778,1.000000,0.914484,-1,-1,-1,-1,-1,0.131096
210,69,0,3261,47.260870,0.000000,30.000000,-1,40.056118,40.056118,-1,2,0,311,1,0,117,95,0,27,9.378261,7.143478,7.143478,1.000000,0.944415,-1,-1,-1,-1,-1,0.151150
