update,cats,dogs,fleas,FpC,FpD,catLockAveSize,dogLockAveSize,fleaKeyAveSize,fleaKeyAveSizeOnCats,fleaKeyAveSizeOnDogs,catBirths,dogBirths,fleaBirths,catDeaths,dogDeaths,fleaDeaths,fleaJumps,fleaJumpsAcross,fleasInherited,catCollectedResource,fleaOnCatCollectedResource,catTheft,infectedCatsRate,bitMatchCat,dogCollectedResource,fleaOnDogCollectedResource,dogTheft,infectedDogsRate,bitMatchDog,fleaCollectedResource
0,100,0,160,1.600000,0.000000,30.000000,-1,40.000000,40.000000,-1,0,0,60,0,0,0,5,0,0,15.509000,0.157667,0.157667,0.640000,0.968750,-1,-1,-1,-1,-1,0.098542
10,193,0,6187,32.056995,0.000000,30.000000,-1,39.995313,39.995313,-1,4,0,770,0,0,0,600,0,58,8.689694,3.428737,3.428737,0.829016,0.915561,-1,-1,-1,-1,-1,0.106958
20,268,0,11384,42.477612,0.000000,30.000000,-1,39.995608,39.995608,-1,11,0,1249,12,0,332,913,0,148,6.821210,4.310631,4.310631,0.947761,0.930213,-1,-1,-1,-1,-1,0.101480
30,321,0,14381,44.800623,0.000000,30.000000,-1,40.003546,40.003546,-1,12,0,1598,9,0,458,1210,0,159,5.766966,4.168652,4.168652,0.996885,0.950790,-1,-1,-1,-1,-1,0.093049
40,356,0,15604,43.831461,0.000000,30.000000,-1,40.006280,40.006280,-1,27,0,1365,15,0,599,1062,0,335,5.140397,3.909273,3.909273,1.000000,0.910710,-1,-1,-1,-1,-1,0.089189
50,390,0,17712,45.415385,0.000000,30.000000,-1,40.007453,40.007453,-1,14,0,1725,19,0,633,1386,0,186,4.991913,3.651310,3.651310,1.000000,0.948086,-1,-1,-1,-1,-1,0.080398
60,386,0,17606,45.611399,0.000000,30.000000,-1,40.010905,40.010905,-1,17,0,1447,15,0,661,1413,0,203,4.854079,3.662205,3.662205,1.000000,0.938712,-1,-1,-1,-1,-1,0.080291
70,393,0,18152,46.188295,0.000000,30.000000,-1,40.016197,40.016197,-1,15,0,1539,20,0,713,1815,0,189,4.853320,3.743978,3.743978,1.000000,0.945259,-1,-1,-1,-1,-1,0.081059
80,411,0,18365,44.683698,0.000000,30.000000,-1,40.022380,40.022380,-1,19,0,1886,17,0,733,1630,0,227,5.206667,3.700354,3.700354,1.000000,0.934827,-1,-1,-1,-1,-1,0.082812
90,394,0,17820,45.228426,0.000000,30.000000,-1,40.027497,40.027497,-1,22,0,1398,12,0,680,1393,0,304,5.084499,3.879001,3.879001,1.000000,0.924196,-1,-1,-1,-1,-1,0.085765
100,402,0,17843,44.385572,0.000000,30.000000,-1,40.032226,40.032226,-1,23,0,1601,23,0,689,1179,0,288,5.240215,3.825824,3.825824,1.000000,0.920535,-1,-1,-1,-1,-1,0.086195
110,387,0,17956,46.397933,0.000000,30.000000,-1,40.031577,40.031577,-1,14,0,1488,16,0,640,1293,0,172,5.064854,3.923949,3.923949,1.000000,0.940687,-1,-1,-1,-1,-1,0.084572
120,398,0,18543,46.590452,0.000000,30.000000,-1,40.027072,40.027072,-1,18,0,1704,13,0,755,1466,0,223,4.979146,3.815961,3.815961,1.000000,0.929491,-1,-1,-1,-1,-1,0.081904
130,413,0,19026,46.067797,0.000000,30.000000,-1,40.027173,40.027173,-1,15,0,1623,17,0,705,1415,0,189,5.011458,3.804830,3.804830,1.000000,0.938960,-1,-1,-1,-1,-1,0.082592
140,398,0,18309,46.002513,0.000000,30.000000,-1,40.023704,40.023704,-1,18,0,1754,22,0,708,1474,0,222,4.946021,3.698989,3.698989,1.000000,0.929228,-1,-1,-1,-1,-1,0.080408
150,393,0,18268,46.483461,0.000000,30.000000,-1,40.042588,40.042588,-1,9,0,1713,13,0,638,1737,0,117,5.076273,3.777599,3.777599,1.000000,0.947472,-1,-1,-1,-1,-1,0.081268
160,404,0,18149,44.923267,0.000000,30.000000,-1,40.045677,40.045677,-1,20,0,1816,15,0,738,1692,0,266,4.964580,3.531412,3.531412,1.000000,0.921523,-1,-1,-1,-1,-1,0.078610
170,395,0,17793,45.045570,0.000000,30.000000,-1,40.056089,40.056089,-1,23,0,1723,22,0,673,1576,0,304,4.974092,3.654540,3.654540,1.000000,0.910608,-1,-1,-1,-1,-1,0.081130
180,406,0,18223,44.884236,0.000000,30.000000,-1,40.055479,40.055479,-1,29,0,1524,17,0,703,1344,0,353,4.888507,3.763381,3.763381,1.000000,0.898366,-1,-1,-1,-1,-1,0.083846
190,419,0,18818,44.911695,0.000000,30.000000,-1,40.050749,40.050749,-1,17,0,1740,13,0,706,1398,0,200,4.824006,3.488188,3.488188,1.000000,0.926478,-1,-1,-1,-1,-1,0.077668
200,429,0,19512,45.482517,0.000000,30.000000,-1,40.055351,40.055351,-1,24,0,1631,11,0,749,1716,0,318,4.729158,3.602732,3.602732,1.000000,0.911178,-1,-1,-1,-1,-1,0.079211
210,395,0,18285,46.291139,0.000000,30.000000,-1,40.071370,40.071370,-1,17,0,1576,32,0,681,1725,0,214,5.051186,3.817289,3.817289,1.000000,0.922140,-1,-1,-1,-1,-1,0.082463
220,428,0,19511,45.586449,0.000000,30.000000,-1,40.063298,40.063298,-1,15,0,2026,15,0,722,2032,0,188,4.949145,3.381184,3.381184,1.000000,0.929456,-1,-1,-1,-1,-1,0.074171
230,420,0,18714,44.557143,0.000000,30.000000,-1,40.059100,40.059100,-1,25,0,1982,23,0,759,1694,0,301,5.029595,3.572559,3.572559,1.000000,0.902345,-1,-1,-1,-1,-1,0.080179
240,403,0,18139,45.009926,0.000000,30.000000,-1,40.046144,40.046144,-1,21,0,1572,22,0,657,1444,0,288,4.963203,3.525867,3.525867,1.000000,0.912625,-1,-1,-1,-1,-1,0.078335
250,409,0,18786,45.931540,0.000000,30.000000,-1,40.048866,40.048866,-1,15,0,1868,21,0,752,1728,0,194,4.863396,3.508533,3.508533,1.000000,0.925703,-1,-1,-1,-1,-1,0.076386
260,414,0,18800,45.410628,0.000000,30.000000,-1,40.059309,40.059309,-1,23,0,1733,13,0,759,1751,0,297,4.830553,3.575877,3.575877,1.000000,0.908528,-1,-1,-1,-1,-1,0.078745
270,397,0,18130,45.667506,0.000000,30.000000,-1,40.063265,40.063265,-1,19,0,1508,25,0,701,1808,0,253,4.961594,3.718147,3.718147,1.000000,0.915454,-1,-1,-1,-1,-1,0.081418
280,400,0,18446,46.115000,0.000000,30.000000,-1,40.081318,40.081318,-1,14,0,1674,18,0,682,1616,0,175,5.051263,3.667546,3.667546,1.000000,0.926925,-1,-1,-1,-1,-1,0.079530
290,402,0,18345,45.634328,0.000000,30.000000,-1,40.078386,40.078386,-1,19,0,1478,25,0,677,1368,0,266,4.950457,3.762526,3.762526,1.000000,0.914188,-1,-1,-1,-1,-1,0.082449
300,376,0,17170,45.664894,0.000000,30.000000,-1,40.063949,40.063949,-1,18,0,1427,25,0,707,1241,0,210,5.258898,3.870155,3.870155,1.000000,0.912965,-1,-1,-1,-1,-1,0.084751
310,404,0,18538,45.886139,0.000000,30.000000,-1,40.064624,40.064624,-1,11,0,1662,14,0,665,1534,0,129,5.237046,3.787117,3.787117,1.000000,0.933112,-1,-1,-1,-1,-1,0.082533
320,396,0,18440,46.565657,0.000000,30.000000,-1,40.069794,40.069794,-1,15,0,1887,26,0,687,1345,0,201,4.944835,3.576630,3.576630,1.000000,0.921465,-1,-1,-1,-1,-1,0.076808
