update,cats,dogs,fleas,FpC,FpD,catLockAveSize,dogLockAveSize,fleaKeyAveSize,fleaKeyAveSizeOnCats,fleaKeyAveSizeOnDogs,catBirths,dogBirths,fleaBirths,catDeaths,dogDeaths,fleaDeaths,fleaJumps,fleaJumpsAcross,fleasInherited,catCollectedResource,fleaOnCatCollectedResource,catTheft,infectedCatsRate,bitMatchCat,dogCollectedResource,fleaOnDogCollectedResource,dogTheft,infectedDogsRate,bitMatchDog,fleaCollectedResource
0,100,0,157,1.570000,0.000000,30.000000,-1,40.000000,40.000000,-1,0,0,57,0,0,0,0,0,0,14.778000,0.155333,0.155333,0.630000,1.000000,-1,-1,-1,-1,-1,0.098938
10,190,0,6365,33.500000,0.000000,30.000000,-1,39.999686,39.999686,-1,7,0,903,0,0,0,264,0,82,8.327235,3.646449,3.646449,0.852632,0.899232,-1,-1,-1,-1,-1,0.108849
20,277,0,11922,43.039711,0.000000,30.000000,-1,40.008136,40.008136,-1,11,0,1395,14,0,382,1055,0,135,6.578400,4.301264,4.301264,0.960289,0.926903,-1,-1,-1,-1,-1,0.099937
30,327,0,14483,44.290520,0.000000,30.000000,-1,40.011462,40.011462,-1,22,0,1364,6,0,462,1173,0,273,5.503116,4.163550,4.163550,0.996942,0.921760,-1,-1,-1,-1,-1,0.094005
40,366,0,16554,45.229508,0.000000,30.000000,-1,40.015102,40.015102,-1,19,0,1724,15,0,627,1586,0,236,5.145253,3.834710,3.834710,1.000000,0.933947,-1,-1,-1,-1,-1,0.084783
50,384,0,16668,43.406250,0.000000,30.000000,-1,40.014099,40.014099,-1,30,0,1643,16,0,625,1483,0,355,4.944261,3.671769,3.671769,1.000000,0.906969,-1,-1,-1,-1,-1,0.084591
60,391,0,17657,45.158568,0.000000,30.000000,-1,40.016084,40.016084,-1,19,0,1883,18,0,616,1297,0,225,4.632459,3.347690,3.347690,1.000000,0.932497,-1,-1,-1,-1,-1,0.074132
70,382,0,17301,45.290576,0.000000,30.000000,-1,40.015317,40.015317,-1,17,0,1644,19,0,665,1417,0,206,4.949284,3.685720,3.685720,1.000000,0.936063,-1,-1,-1,-1,-1,0.081379
80,405,0,18595,45.913580,0.000000,30.000000,-1,40.001560,40.001560,-1,20,0,1505,21,0,714,1706,0,247,4.692983,3.639645,3.639645,1.000000,0.930807,-1,-1,-1,-1,-1,0.079272
90,407,0,18666,45.862408,0.000000,30.000000,-1,39.999089,39.999089,-1,16,0,1566,8,0,767,1485,0,178,5.044669,3.844180,3.844180,1.000000,0.939489,-1,-1,-1,-1,-1,0.083820
100,414,0,19472,47.033816,0.000000,30.000000,-1,39.993837,39.993837,-1,13,0,1618,23,0,651,1676,0,174,4.656855,3.603209,3.603209,1.000000,0.947136,-1,-1,-1,-1,-1,0.076609
110,426,0,19348,45.417840,0.000000,30.000000,-1,40.007443,40.007443,-1,22,0,1635,20,0,749,1573,0,284,4.844682,3.737031,3.737031,1.000000,0.925347,-1,-1,-1,-1,-1,0.082281
120,422,0,19220,45.545024,0.000000,30.000000,-1,40.016545,40.016545,-1,19,0,1940,20,0,725,1415,0,216,4.844802,3.555672,3.555672,1.000000,0.929306,-1,-1,-1,-1,-1,0.078069
